Medical Condition,Symptoms,Medication,Admission Type
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
Panic Attack,"shortness of breath, racing heart, heightened anxiety, feeling of impending doom, nausea, shivering","Breathing techniques, Therapy",Elective
Generalized Anxiety,"constant worrying, restless, fatigue, muscle tension, sweating","CBT, Mindfulness",Elective
Insomnia,"difficulty falling asleep, staying awake at night, tired during day, irritability","Sleep hygiene, Melatonin",Elective
Depression,"persistent sadness, loss of interest, change in appetite, sleeping too much or too little","Counseling, Support groups",Elective
